"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"161","10","","Chicago (CHI)","","DST1","6","132","246","143.6","17.4","86.0","-75.0"
"162","10","","Derek Carr","OAK","QB25","6","113","241","171.2","17.9","186.0","+24.0"
"163","10","","Robert Foster","BUF","WR62","6","45","293","169.2","40.2","243.0","+80.0"
"164","10","","T.J. Hockenson","DET","TE22","5","78","356","168.3","46.8","138.0","-26.0"
"165","10","","Parris Campbell","IND","WR63","6","64","302","170.3","42.5","152.0","-13.0"
"166","10","","Adam Humphries","TEN","WR64","11","41","378","175.0","44.6","198.0","+32.0"
"167","10","","Giovani Bernard","CIN","RB55","9","118","289","183.7","29.4","221.0","+54.0"
"168","10","","Noah Fant","DEN","TE23","10","69","282","172.7","38.6","169.0","+1.0"
"169","10","","Marquise Goodwin","SF","WR65","4","43","333","173.0","40.9","216.0","+47.0"
"170","10","","Jamaal Williams","GB","RB56","11","104","274","173.3","29.6","205.0","+35.0"
"171","10","","Devin Singletary","BUF","RB57","6","85","324","173.6","43.2","147.0","-24.0"
"172","10","","C.J. Anderson","DET","RB58","5","123","289","180.4","32.5","195.0","+23.0"
"173","10","","Devante Parker","MIA","WR66","5","79","276","177.6","35.2","201.0","+28.0"
"174","10","","Quincy Enunwa","NYJ","WR67","4","97","258","177.6","34.1","280.0","+106.0"
"175","10","","Jacksonville (JAC)","","DST2","10","130","246","154.0","17.5","136.0","-39.0"
"176","10","","Andy Dalton","CIN","QB26","9","117","241","180.3","19.0","237.0","+61.0"
"177","10","","Tre'Quan Smith","NO","WR68","9","113","269","181.7","30.4","182.0","+5.0"
"178","10","","Mike Davis","CHI","RB59","6","130","322","190.8","36.5","234.0","+56.0"
"179","10","","Los Angeles (LAR)","","DST3","9","145","239","159.4","15.5","99.0","-80.0"
"180","10","","Justice Hill","BAL","RB60","8","52","322","191.5","52.4","171.0","-9.0"
"181","10","","Minnesota (MIN)","","DST4","12","134","244","163.9","14.1","146.0","-35.0"
"182","10","","Justin Jackson","LAC","RB61","12","83","320","195.3","51.7","166.0","-16.0"
"183","10","","Deebo Samuel","SF","WR69","4","88","317","182.2","45.7","209.0","+26.0"
"184","10","","Mike Gesicki","MIA","TE24","5","127","273","188.6","36.4","227.0","+43.0"
"185","10","","David Moore","SEA","WR70","11","86","343","197.0","34.2","284.0","+99.0"
"186","10","","Baltimore (BAL)","","DST5","8","144","277","166.6","26.1","156.0","-30.0"
"187","10","","Greg Zuerlein","LAR","K1","9","143","247","173.5","11.2","106.0","-81.0"
"188","10","","Zay Jones","BUF","WR71","6","65","297","192.6","42.3","239.0","+51.0"
"189","10","","Jalen Richard","OAK","RB62","6","100","274","193.8","35.1","200.0","+11.0"
"190","10","","Nick Foles","JAC","QB27","10","151","254","195.6","24.6","202.0","+12.0"
"191","10","","Los Angeles (LAC)","","DST6","12","141","330","167.5","24.6","140.0","-51.0"
"192","10","","Houston (HOU)","","DST7","10","145","303","175.8","23.3","168.0","-24.0"
"193","10","","Marcus Mariota","TEN","QB28","11","131","284","201.1","26.9","193.0","0.0"
"194","10","","Justin Tucker","BAL","K2","8","2","276","184.7","18.0","133.0","-61.0"
"195","11","","Harrison Butker","KC","K3","12","147","225","186.1","9.7","149.0","-46.0"
"196","11","","Cleveland (CLE)","","DST8","7","137","250","184.0","19.6","162.0","-34.0"
"197","11","","Stephen Gostkowski","NE","K4","10","148","252","191.9","13.3","165.0","-32.0"
"198","11","","Tyler Eifert","CIN","TE25","9","108","325","206.3","43.1","199.0","+1.0"
"199","11","","Marqise Lee","JAC","WR72","10","97","334","200.4","39.8","253.0","+54.0"
"200","11","","Chase Edmonds","ARI","RB63","12","119","316","211.6","38.5","259.0","+59.0"
"201","11","","Taylor Gabriel","CHI","WR73","6","103","306","204.0","30.1","270.0","+69.0"
"202","11","","New Orleans (NO)","","DST9","9","140","249","192.9","18.2","184.0","-18.0"
"203","11","","Rex Burkhead","NE","RB64","10","85","321","198.7","35.1","252.0","+49.0"
"204","11","","Randall Cobb","DAL","WR74","8","109","331","209.8","31.7","189.0","-15.0"
"205","11","","Marquise Brown","BAL","WR75","8","90","366","200.0","45.9","167.0","-38.0"
"206","11","","Gerald Everett","LAR","TE26","9","121","283","205.0","35.6","265.0","+59.0"
"207","11","","Trey Quinn","WAS","WR76","10","93","297","197.5","48.9","282.0","+75.0"
"208","11","","Alexander Mattison","MIN","RB65","12","128","354","206.4","51.1","170.0","-38.0"
"209","11","","Denver (DEN)","","DST10","10","139","248","200.8","14.3","157.0","-52.0"
"210","11","","Mecole Hardman","KC","WR77","12","67","364","210.5","52.9","163.0","-47.0"
"211","11","","Wil Lutz","NO","K5","9","171","253","203.0","11.6","161.0","-50.0"
"212","11","","A.J. Brown","TEN","WR78","11","67","315","206.7","32.3","203.0","-9.0"
"213","11","","Antonio Callaway","CLE","WR79","7","73","311","212.8","39.2","238.0","+25.0"
"214","11","","New England (NE)","","DST11","10","140","266","210.2","16.2","181.0","-33.0"
"215","11","","Ted Ginn","NO","WR80","9","109","306","225.5","34.6","226.0","+11.0"
