"Player","Team","REC","YDS","TDS","FL","FPTS"
"Ross Dwelley","SF","3.1","26.5","0.2","0.0","7.1"
"Gabe Holmes","IND","2.4","24.2","0.3","0.0","6.5"
"Clive Walford","MIA","2.6","24.1","0.3","0.0","6.5"
"Jerell Adams","HOU","2.8","33.0","0.1","0.0","6.4"
"Ross Travis","IND","2.4","19.5","0.3","0.0","6.4"
"Ben Koyack","JAC","2.4","22.4","0.3","0.0","6.4"
"Rico Gathers","CLE","2.3","21.3","0.2","0.0","5.6"
"Matt Flanagan","WAS","2.0","20.4","0.2","0.0","5.3"
"A.J. Derby","NO","2.0","23.5","0.1","0.0","5.0"
"Ryan Izzo","MIN","1.8","20.8","0.2","0.0","4.8"
"Evan Baylis","GB","1.3","13.9","0.3","0.0","4.5"
"C.J. Conrad","NYG","1.8","19.4","0.1","0.0","4.4"
"Troy Fumagalli","DEN","1.8","18.6","0.1","0.0","4.2"
"Mason Schreck","CIN","1.7","18.6","0.1","0.0","4.2"
"Ryan Hewitt","TEN","1.5","17.1","0.1","0.0","3.9"
"Will Tye","PHI","1.2","12.4","0.1","0.0","3.3"
"Darrell Daniels","ARI","1.6","14.8","0.0","0.0","3.1"
"Johnny Mundt","LAR","1.2","9.8","0.1","0.0","2.8"
"Moritz Bohringer","CIN","0.0","0.0","0.0","0.0","0.0"
"Alex Ellis","PHI","0.0","0.0","0.0","0.0","0.0"
"Vince Mayle","LAC","0.0","0.0","0.0","0.0","0.0"
"Garrett Dickerson","NYG","0.0","0.0","0.0","0.0","0.0"
"Temarrick Hemingway","CAR","0.0","0.0","0.0","0.0","0.0"
"Cole Hikutini","MIN","0.0","0.0","0.0","0.0","0.0"
"Bucky Hodges","NYJ","0.0","0.0","0.0","0.0","0.0"
"Austin Traylor","DET","0.0","0.0","0.0","0.0","0.0"
"Donnie Ernsberger","JAC","0.0","0.0","0.0","0.0","0.0"
"Marcus Lucas","DAL","0.0","0.0","0.0","0.0","0.0"
""
""
